STATE,ST_CASE,FATALS
1,10717,3
1,10718,1
1,10719,1
1,10720,1
1,10721,1
1,10722,1
1,10723,1
1,10724,1
1,10725,1
1,10726,1
1,10727,1
1,10728,1
1,10729,1
1,10730,1
1,10731,1
1,10732,1
1,10733,1
1,10734,1
1,10735,1
1,10736,1
1,10737,1
1,10738,1
1,10739,1
1,10740,1
1,10741,1
1,10742,1
1,10743,1
1,10744,1
1,10745,1
1,10746,1
1,10747,2
1,10748,1
1,10749,1
1,10750,1
1,10751,1
1,10752,2
1,10753,1
1,10754,1
1,10755,1
1,10756,1
1,10757,1
1,10758,1
1,10759,1
1,10760,1
1,10761,1
1,10762,1
1,10763,1
1,10764,2
1,10765,1
1,10766,1
1,10767,1
1,10768,1
1,10769,1
1,10770,1
1,10771,2
1,10772,1
1,10773,1
1,10774,1
1,10775,1
1,10776,1
1,10777,1
1,10778,1
1,10779,1
1,10780,1
1,10781,1
1,10782,1
1,10783,1
1,10784,1
1,10785,1
1,10786,1
1,10787,1
1,10788,1
1,10789,1
1,10790,1
1,10791,1
1,10792,1
1,10793,1
1,10794,1
1,10795,1
1,10796,1
1,10797,1
1,10798,2
1,10799,1
1,10800,1
1,10801,1
1,10802,1
1,10803,1
1,10804,1
1,10805,1
1,10806,2
1,10807,1
1,10808,1
1,10809,1
1,10810,1
1,10811,1
1,10812,1
1,10813,1
1,10814,1
1,10815,1
1,10816,1
1,10817,1
1,10818,1
1,10819,1
1,10820,1
1,10821,1
1,10822,1
1,10823,1
1,10824,1
1,10825,1
1,10826,2
1,10827,1
1,10828,1
1,10829,1
1,10830,1
1,10831,1
1,10832,1
1,10833,1
1,10834,1
1,10835,1
1,10836,1
1,10837,1
1,10838,1
1,10839,1
1,10840,1
1,10841,1
1,10842,1
1,10843,1
1,10844,1
1,10845,1
1,10846,1
1,10847,1
1,10848,1
1,10849,1
1,10850,1
1,10851,1
1,10852,1
1,10853,1
1,10854,1
1,10855,1
1,10856,1
1,10857,1
1,10858,1
1,10859,1
1,10860,1
1,10861,1
1,10862,1
1,10863,1
1,10864,1
1,10865,1
1,10866,1
1,10867,1
1,10868,1
1,10869,1
1,10870,1
1,10871,1
1,10872,2
1,10873,1
1,10874,1
1,10875,1
1,10876,1
1,10877,1
1,10878,2
1,10879,2
1,10880,1
1,10881,1
1,10882,1
1,10883,1
1,10884,1
1,10885,1
1,10886,1
1,10887,1
1,10888,1
1,10889,1
1,10890,1
1,10891,1
1,10892,1
1,10893,1
2,20001,1
2,20002,1
2,20003,1
2,20004,1
2,20005,1
2,20006,1
2,20007,1
2,20008,1
2,20009,1
2,20010,1
2,20011,1
2,20012,1
2,20013,1
2,20014,1
2,20015,1
2,20016,1
2,20017,2
2,20018,1
2,20019,1
2,20020,1
2,20021,1
2,20022,1
2,20023,1
2,20024,1
2,20025,3
2,20026,2
2,20027,1
2,20028,1
2,20029,1
2,20030,1
2,20031,1
2,20032,1
2,20033,1
2,20034,1
2,20035,3
2,20036,1
2,20037,1
2,20038,1
2,20039,1
2,20040,1
2,20041,1
2,20042,1
2,20043,1
2,20044,1
2,20045,1
2,20046,1
2,20047,1
2,20048,1
2,20049,1
2,20050,1
2,20051,1
2,20052,2
2,20053,1
2,20054,2
2,20055,1
2,20056,1
2,20057,1
2,20058,1
2,20059,1
4,40001,1
4,40002,1
4,40003,1
4,40004,1
4,40005,1
4,40006,1
4,40007,1
4,40008,1
4,40009,1
4,40010,2
4,40011,1
4,40012,1
4,40013,1
4,40014,1
4,40015,1
4,40017,1
4,40018,1
4,40019,2
4,40020,1
4,40021,1
4,40022,1
4,40023,1
4,40024,1
4,40025,1
4,40026,1
4,40027,1
4,40028,1
4,40029,1
4,40030,1
4,40031,1
4,40032,1
4,40033,1
4,40034,1
4,40035,1
4,40036,1
4,40037,1
4,40039,2
4,40040,1
4,40041,1
4,40042,1
4,40043,1
4,40044,1
4,40045,2
4,40046,1
4,40047,1
4,40048,1
4,40049,1
4,40050,1
4,40051,1
4,40052,1
4,40053,1
4,40054,1
4,40055,2
4,40056,1
4,40057,1
4,40058,1
